hdd journal_jac_delalloc_1024/
761000 5698000
591000 5714000
884000 6446000
982000 6431000
958000 6374000
1001000 7632000
1115000 7598000
1088000 7510000
1376000 9951000
1467000 9936000
1442000 9790000
15600 4328000
10100 4343000
15400 4325000
13701 4764000
12624 4764000
15102 4708000
14751 5238000
15080 5261000
16559 5204000
13474 5735000
15471 5771000
16820 5695000
17400 6207000
19400 6244000
19000 6205000
591000 4121000
474000 4077000
391000 4051000
560000 4294000
519000 4273000
442000 4243000
618000 4686000
665000 4682000
656000 4652000
649000 5117000
713000 5100000
697000 5018000
731000 5508000
767000 5512000
752000 5461000
17500 3793000
13000 3814000
14800 3783000
14165 4031000
12067 4043000
14976 4001000
14277 4340000
14048 4370000
17221 4316000
14936 4665000
15226 4688000
18028 4635000
17000 5019000
18500 5038000
18400 4992000
920000 5335000
776000 5247000
591000 5209000
896000 5965000
813000 5891000
647000 5864000
1010000 6974000
1119000 6990000
1088000 6941000
1113000 8213000
1231000 8196000
1204000 8072000
1290000 9337000
1381000 9338000
1363000 9219000
16400 4917000
13800 4949000
15500 4884000
14575 5497000
13882 5520000
14561 5453000
15180 6358000
14678 6346000
14628 6296000
15007 7228000
16412 7242000
17211 7137000
17600 8088000
19300 8093000
18400 7994000
hdd journal_nojac_delalloc_4096/
963000 5563000
807000 5451000
631000 5423000
823000 5734000
740000 5709000
593000 5668000
888000 6436000
984000 6436000
961000 6370000
1004000 7624000
1115000 7595000
1094000 7490000
1373000 9944000
1463000 9937000
1446000 9780000
16800 4328000
12300 4369000
14600 4306000
14980 4731000
9820 4764000
15510 4681000
13678 5246000
14557 5280000
15762 5192000
15469 5736000
15010 5746000
17472 5687000
17200 6205000
19100 6245000
19100 6196000
592000 4116000
479000 4084000
390000 4026000
559000 4285000
520000 4277000
440000 4253000
612000 4691000
672000 4682000
661000 4641000
656000 5087000
712000 5094000
701000 5022000
732000 5508000
763000 5499000
756000 5455000
16600 3783000
12000 3822000
15500 3771000
14309 4010000
13628 4019000
16698 3988000
14048 4332000
14624 4360000
17059 4314000
15199 4667000
16550 4678000
16797 4613000
16400 5023000
18900 5038000
18600 4986000
912000 5326000
779000 5232000
604000 5224000
883000 5908000
801000 5876000
648000 5865000
1016000 6992000
1116000 6974000
1099000 6940000
1115000 8199000
1237000 8166000
1205000 8076000
1287000 9382000
1382000 9318000
1360000 9210000
18200 4895000
12800 4957000
15000 4911000
13372 5499000
14018 5512000
15642 5477000
13859 6342000
14955 6378000
13479 6300000
15882 7196000
17737 7231000
16933 7103000
16900 8064000
18800 8077000
17000 7995000
hdd journal_nojac_nodelalloc_1024/
588000 323000
362000 58600
125000 20500
579000 980000
453000 2020000
162700 1259000
818000 3550000
754000 2372000
362000 1032000
975000 3131000
925000 2492000
505000 1672000
1330000 2826000
1342000 2792000
1301000 2790000
78 528
83 1
64 492
62 20
88 494
42 98900
70 292
82 266
70 167
98 210
103 218
99 284
146 301
165 721
163 719
469000 278000
303000 50200
117000 15800
452000 620000
369500 76700
143900 19752
609000 4444000
608000 2188000
344000 1821000
664000 4700000
673000 3595000
452000 2143000
708000 5090000
739000 5227000
678000 5130000
85 552
103 10
10 284
170 43
0 401
159 43
0 364
163 74
25 354
139 52
88 438
109 281
122 290000
165 729
165 730
574000 287000
327000 55300
126000 18100
576000 637000
392200 72100
165500 23744
926000 3754000
814000 2432000
378000 1525000
1044000 3106000
965000 2516000
589000 1765000
1270000 2861000
1255000 2837000
1221000 2790000
82 532
79 1
54 456
60 0
87 593
71 1
77 556
70 72
82 418
107 262700
89 614
109 26
143 644
165 760
165 740
hdd journal_nojac_nodelalloc_2048/
653000 391000
480000 71300
193000 22600
627000 1075000
537000 1380000
248000 395900
778000 3712000
818000 3586000
522000 3590000
600000 3104000
979000 2960000
773000 3028000
1181000 2829000
1377000 2798000
1354000 2750000
165 532
0 31
161 272
0 123
161 215
0 126
163 186
8 162
156 191
15 159
154 295
67 235
120 329
164 766
167 763
498000 362000
353000 69900
191000 22100
460000 687000
404000 79000
226800 29987
592000 4628000
612000 4236000
440000 4382000
621000 4890000
661000 4720000
567000 4739000
686000 5297000
744000 5207000
715000 5146000
66 616
88 1
75 575
43 0
48 579
67 55400
77 313
80 55
77 416
134 95
70 510
99 63
143 543
171 772
172 752
689000 371000
490000 71200
191000 22900
680000 1031000
583000 2266000
272100 27476
854000 3640000
914000 3508000
518000 3582000
1051000 3090000
1080000 2887000
829000 3049000
1241000 2829000
1290000 2824000
1320000 2768000
88 561
88 22
10 330
171 33
0 343
162 42
0 331
163 44
10 358
170 59
63 453
151 162
79 411
162 769
172 771
hdd journal_nojac_nodelalloc_4096/
696000 545000
523000 207000
267000 2693000
586000 3800000
541000 2287000
321600 605000
720000 3680000
829000 3446000
608000 3654000
856000 3059000
987000 2971000
835000 3043000
1275000 2832000
1405000 2824000
1391000 2766000
132 741
130 190
137 544
166 506
111 507
136 595
152 573
155 563
165 495
151 55400
158 548
154 605
167 612
173 765
172 753
553000 532000
424000 102000
244000 891000
498000 985000
465000 221400
302800 457000
571000 4648000
639000 4426000
510000 4526000
565000 4932000
683000 4904000
590000 4864000
696000 5300000
751000 5236000
739000 5150000
153 759
120 146
133 552
136 612
104 502
143 552
144 527
126 606
142 524
159 542
167 530
153 601
159 506000
173 791
172 791
740000 553000
519000 96400
305000 846000
527000 1248000
564000 2064000
400000 2964000
740000 3588000
904000 3583000
642000 3576000
915000 3015000
1075000 2984000
979000 3017000
1139000 2825000
1335000 2806000
1316000 2785000
152 752
117 205
157 680
108 253300
136 671
147 516
138 666
107 905000
144 746
161 474000
145 604
151 576
162 655
172 810
173 815
hdd ordered_jac_delalloc_1024/
624000 335000
400000 52400
192000 12400
483000 517000
452000 75300
235900 18010
723000 3600000
802000 3596000
794000 3584000
673000 2997000
1016000 2884000
868000 2985000
1106000 2740000
1343000 2721000
1308000 2694000
109 594
24 0
85 553
69 6
78 522
62 51
78 387
86 89300
77 573000
83 262700
104 1152000
75 702000
163 668
165 747
165 728
476000 376000
324000 51400
166000 12600
365300 491000
378800 69500
214900 19611
532000 4538000
627000 4512000
582000 4543000
465000 4915000
703000 4751000
564000 4654000
684000 5271000
743000 5198000
676000 5107000
119 599
14 0
138 534
0 0
160 585
0 2
163 613
27 0
134 619
42 93600
137 651
87 85000
113 699
164 718
166 746
605000 356000
376000 59300
181000 13100
477000 575000
453000 76800
240100 26149
830000 3470000
990000 3516000
715000 3503000
613000 2973000
1109000 2906000
879000 2912000
1148000 2736000
1266000 2711000
1222000 2700000
162 594
0 0
163 546
0 0
159 597
0 40000
160 786000
30 231000
130 844000
45 263900
137 639
89 157200
112 730
166 722
165 739
hdd ordered_jac_delalloc_2048/
713000 396000
526000 63800
292000 581000
558000 1272000
560000 820000
345300 763000
736000 3648000
892000 3591000
724000 3628000
865000 3047000
1023000 2903000
928000 3025000
1367000 2787000
1374000 2757000
1344000 2721000
164 646
0 1
161 577
0 0
162 645
0 0
160 636
14 4
148 648
18 1
151 710
71 28410
116 793
167 771
167 738
545000 415000
415000 69100
250000 18400
411000 704000
453000 85499
294600 47800
554000 4598000
662000 4706000
598000 4628000
553000 4899000
700000 4802000
643000 4852000
678000 5246000
746000 5221000
743000 5137000
73 633
38 1
148 598
0 75500
165 622
0 1
165 629
14 0
150 655
23 9239
150 710
75 2
118 747
172 754
172 737
723000 427000
505000 73500
306000 12800
608000 575000
583000 90400
324000 29465
974000 3524000
954000 3612000
954000 3616000
813000 3067000
1099000 2964000
1091000 3059000
1102000 2782000
1317000 2748000
1303000 2726000
72 643
39 1
145 609
0 46600
163 606
0 1
116 654
92 0
44 663
134 1
72 690
139 2
79 737
172 759
172 752
hdd ordered_jac_delalloc_4096/
749000 583000
561000 478000
377000 2886000
563000 3764000
559000 3303000
421000 3301000
709000 3588000
850000 3577000
878000 3572000
768000 2991000
1016000 2955000
1019000 2977000
1200000 2734000
1410000 2710000
1386000 2674000
153 749
107 402000
156 838000
124 766000
101 888000
171 600000
95 884000
145 862000
135 442000
130 512
166 531
149 557
158 645
173 757
173 791
588000 612000
465000 71500
314000 298000
457000 2764000
503000 1515000
373300 1679000
560000 4674000
660000 4636000
644000 4630000
555000 4934000
693000 4883000
685000 4887000
675000 5256000
747000 5160000
744000 5075000
171 752
105 91900
144 1831000
124 723000
100 1730000
171 1022000
95 1430000
146 920000
133 1505000
130 152200
151 1834000
158 2606000
159 3430000
173 795
172 770
789000 566000
595000 76000
395000 1006000
565000 3517000
652000 2943000
443000 3321000
890000 3494000
1010000 3498000
764000 3488000
1031000 2960000
1119000 2904000
1088000 2955000
1201000 2734000
1328000 2715000
1317000 2668000
153 741
107 498000
155 3110000
123 3514000
100 3103000
166 3110000
94 1292000
148 278000
135 1648000
130 2409000
166 2850000
147 2914000
159 2019000
173 761
172 776
hdd ordered_jac_nodelalloc_1024/
633000 316000
429000 56800
156000 12700
619000 521000
475000 69700
189500 22551
886000 3644000
834000 3656000
764000 3652000
481000 3053000
1009000 2992000
849000 3049000
1137000 2829000
1336000 2794000
1296000 2771000
163 599
0 0
162 569
0 0
163 581
0 1
159 591
27 104300
135 613
42 1
137 680
89 254800
111 738
165 757
164 739
477000 374000
316000 51900
168000 11500
357600 455000
365300 60300
218700 21611
528000 4516000
632000 4562000
626000 4464000
412000 4754000
697000 4594000
585000 4706000
630000 5292000
739000 5209000
684000 5152000
164 599
0 0
160 542
0 0
159 570
0 1
161 588
29 0
131 616
44 184300
135 658
89 18828
112 726
165 750
165 732
597000 349000
370000 60600
183000 13500
447000 485000
456000 67600
245300 20676
768000 3508000
960000 3542000
756000 3572000
593000 3023000
1115000 2916000
900000 2965000
1006000 2826000
1267000 2789000
1214000 2786000
163 580
0 0
159 555
0 12763
159 753000
0 165200
159 625
31 0
130 617
45 164100
137 663
89 429000
112 725
164 733
164 740
hdd ordered_jac_nodelalloc_2048/
697000 427000
526000 69100
274000 19100
594000 638000
551000 86000
338800 22399
733000 3594000
843000 3646000
820000 3639000
743000 3075000
1000000 3008000
965000 3067000
1183000 2793000
1364000 2784000
1316000 2725000
163 637
0 1
160 584
0 0
163 618
0 36566
159 554000
16 175300
142 653
22 108200
148 723
71 81700
112 737
164 783
164 764
555000 443000
401000 64099
267000 14000
430000 695000
489000 82500
291900 36956
550000 4630000
662000 4675000
581000 4584000
625000 4956000
706000 4805000
639000 4863000
715000 5287000
756000 5210000
738000 5107000
170 639
0 1
164 588
0 0
165 623
0 1
164 627
16 0
147 650
27 5
149 659
76 10
118 718
172 773
171 738
726000 432000
520000 77300
288000 14900
576000 660000
582000 82300
373500 27492
820000 3568000
944000 3548000
974000 3556000
840000 3047000
1092000 2869000
1101000 3027000
1105000 2791000
1322000 2768000
1319000 2720000
169 649
0 1
164 567
0 44200
163 662
0 0
165 648
14 0
151 639
20 1
151 718
74 1
116 752
170 818
172 805
hdd ordered_jac_nodelalloc_4096/
746000 545000
562000 82600
370000 59700
568000 1432000
566000 222800
423000 221500
704000 3816000
852000 3744000
870000 3758000
769000 3249000
1005000 3211000
1024000 3197000
1204000 2921000
1419000 2889000
1391000 2841000
153 771
108 128
155 589
123 564
104 495
169 539
96 531
148 624
126 502
133 555
167 579
142 564
160 611
173 791
172 775
580000 568000
440000 85500
332000 1184000
439000 3037000
481000 1589000
394600 1087000
546000 4704000
650000 4664000
606000 4580000
629000 5016000
704000 4822000
677000 4847000
696000 5313000
752000 5205000
741000 5128000
154 786
106 172
153 554
122 557
99 516
167 539
93 507
148 590
136 458
129 550
151 486
159 632
159 560
173 799
172 790
793000 566000
640000 570000
361000 723000
630000 2060000
707000 2628000
448000 2508000
812000 3788000
998000 3764000
801000 3780000
989000 3268000
1123000 3226000
1081000 3258000
1342000 2913000
1337000 2873000
1319000 2861000
152 800
108 153
155 558
124 551
99 506
171 541
94 449
145 585
133 544
127 647
164 559
148 616
158 609
173 796
173 787
hdd ordered_nojac_delalloc_1024/
623000 311000
409000 58600
172000 11900
595000 540000
465000 71300
238800 20568
740000 3570000
816000 3638000
804000 3636000
669000 3077000
974000 2973000
955000 3059000
1126000 2830000
1363000 2769000
1336000 2744000
165 596
0 0
160 556
0 0
160 531
0 2
165 596
32 1
129 601
48 1
135 657
91 2
111 731
166 745
163 723
471000 353000
300000 46800
179000 12000
341300 431000
415000 67600
179000 18405
598000 4541000
658000 4562000
464000 4522000
633000 4843000
692000 4667000
511000 4707000
749000 5270000
748000 5189000
703000 5110000
164 601
0 0
162 558
0 0
162 563
0 9
161 531
27 9
135 591
43 47000
138 676
91 31786
111 730
163 728
166 735
626000 349000
364000 56200
190000 15700
480000 569000
440000 81000
235900 19477
847000 3539000
994000 3508000
780000 3486000
688000 2986000
1125000 2885000
917000 2943000
1121000 2796000
1280000 2751000
1252000 2717000
164 553
0 20
161 392
0 32666
165 596000
0 200100
160 397
34 228000
131 538
47 1
135 656
89 294700
111 717
165 710
166 727
hdd ordered_nojac_delalloc_2048/
702000 390000
516000 73300
291000 17200
564000 610000
564000 86799
340000 23110
744000 3500000
886000 3576000
783000 3568000
760000 2980000
1031000 2812000
940000 2936000
1194000 2767000
1375000 2739000
1351000 2702000
96 639
36 1
90 582
8 0
155 639
0 122000
118 669
90 0
52 650
118 1
59 687
155 172400
71 756
166 785
167 749
541000 420000
403000 70600
254000 14600
421000 753000
429000 88500
299900 26143
556000 4697000
643000 4620000
636000 4600000
557000 4956000
685000 4843000
679000 4873000
661000 5293000
750000 5205000
716000 5117000
166 649
0 1
161 597
0 1
159 614
0 1
161 672
14 0
149 620
18 1
151 712
71 19324
116 760
171 759
172 765
740000 455000
514000 80100
285000 170000
596000 1327000
569000 100300
346800 745000
886000 3528000
994000 3534000
720000 3519000
1119000 3003000
1109000 2868000
